Order,Issue Key,Summary,Description,Story Points,Epic Link,Acceptance Criteria
1,US01,Navegar de forma intuitiva en la landing page,"Como visitante de Triple B, deseo que la landing page tenga una barra de navegación clara y accesible para encontrar fácilmente las secciones importantes.",3,EP01,"Escenario 1: Dado que un visitante está en la landing page, cuando consulta el menú de navegación, entonces el sistema muestra las secciones principales del sitio. | Escenario 2: Dado que un visitante navega por la página, cuando cambia de sección, entonces el sistema indica la sección activa."
2,US64,Acceder al registro de estudiante desde la landing,"Como visitante del segmento estudiante, deseo un llamado a la acción dirigido a estudiantes en la landing page para registrarme directamente como freelancer en la aplicación web.",2,EP01,"Escenario 1: Dado que un visitante consulta la sección para estudiantes, cuando selecciona el llamado a la acción de registro, entonces el sistema lo dirige a la vista de registro de estudiante de la aplicación web. | Escenario 2: Dado que el visitante navega desde un dispositivo móvil, cuando selecciona el llamado a la acción, entonces el sistema le ofrece también el enlace de descarga de la aplicación móvil."
3,US65,Acceder a publicar una oferta desde la landing,"Como visitante del segmento empleador, deseo un llamado a la acción dirigido a empleadores en la landing page para publicar mi primera oferta sin buscar la opción.",2,EP01,"Escenario 1: Dado que un visitante consulta la sección para empleadores, cuando selecciona el llamado a la acción, entonces el sistema lo dirige al registro de empleador y, tras registrarse, a la publicación de oferta. | Escenario 2: Dado que el visitante ya tiene sesión iniciada como empleador, cuando selecciona el llamado a la acción, entonces el sistema lo dirige directamente a la publicación de oferta."
4,US02,Acceder rápidamente a funcionalidades clave,"Como visitante, deseo acceder desde la landing page a secciones clave como publicar proyecto o registrarme para actuar rápidamente.",3,EP01,"Escenario 1: Dado que un visitante está en la landing page, cuando busca acciones principales, entonces el sistema muestra accesos visibles a funcionalidades clave. | Escenario 2: Dado que un visitante selecciona una acción principal, cuando solicita registrarse o publicar un proyecto, entonces el sistema lo dirige al flujo correspondiente."
5,US08,Conocer los beneficios de Triple B,"Como visitante, deseo conocer los beneficios de usar Triple B para entender por qué debería utilizar la plataforma.",1,EP01,"Escenario 1: Dado que un visitante accede a la sección de información, cuando consulta los beneficios, entonces el sistema presenta los principales beneficios de la plataforma. | Escenario 2: Dado que selecciona un beneficio, cuando solicita ampliación, entonces recibe más información explicativa."
6,US09,Conocer diferencias entre roles,"Como visitante, deseo saber las diferencias entre registrarme como freelancer o cliente para elegir el rol adecuado.",3,EP01,"Escenario 1: Dado que un visitante revisa la sección de roles, cuando consulta la información, entonces el sistema muestra comparaciones claras. | Escenario 2: Dado que el visitante selecciona un rol, cuando consulta más detalles, entonces el sistema muestra información específica del flujo de ese rol."
7,US11,Conocer tipos de servicios disponibles,"Como visitante, deseo conocer los tipos de servicios que puedo contratar o brindar en Triple B para decidir si la plataforma responde a mi necesidad.",5,EP01,"Escenario 1: Dado que un visitante consulta la sección de tipos de servicios, cuando selecciona uno, entonces el sistema muestra su descripción. | Escenario 2: Dado que desea más información, cuando selecciona detalles, entonces el sistema presenta casos prácticos y ejemplos."
8,US10,Ver experiencias de otros usuarios,"Como visitante, deseo ver testimonios de usuarios anteriores para confiar en la plataforma.",5,EP01,"Escenario 1: Dado que un visitante accede a la sección de experiencias, cuando visualiza testimonios, entonces el sistema muestra nombre, rol y comentario. | Escenario 2: Dado que solicita ver más testimonios, cuando el sistema detecta la acción, entonces muestra más experiencias registradas."
9,US12,Acceder a preguntas frecuentes,"Como visitante, deseo ver una sección de preguntas frecuentes para resolver dudas comunes sin ayuda externa.",3,EP01,"Escenario 1: Dado que un visitante accede a FAQ, cuando consulta las preguntas, entonces el sistema muestra un listado con respuestas. | Escenario 2: Dado que selecciona una pregunta, cuando visualiza o cierra la respuesta, entonces el sistema muestra u oculta la información según corresponda."
10,US15,Crear perfil freelance,"Como estudiante, deseo crear mi perfil freelance con mi nombre, carrera y universidad para que los clientes conozcan mi identidad profesional.",5,EP03,"Escenario 1: Dado que un estudiante proporciona nombre, carrera y universidad válidos, cuando solicita crear su perfil, entonces el sistema registra el perfil y lo deja disponible. | Escenario 2: Dado que el estudiante omite la carrera o la universidad, cuando solicita crear el perfil, entonces el sistema rechaza el registro e indica los campos obligatorios."
11,US63,Verificar la condición de estudiante,"Como estudiante, deseo verificar mi condición de estudiante universitario con mi correo institucional para que los empleadores confíen en mi perfil.",5,EP03,"Escenario 1: Dado que el estudiante registra un correo con dominio de una universidad reconocida, cuando ingresa el código enviado a ese correo, entonces el sistema marca su perfil como verificado. | Escenario 2: Dado que el dominio del correo no corresponde a una universidad reconocida, cuando solicita la verificación, entonces el sistema le permite adjuntar una constancia de matrícula para revisión del administrador."
12,US16,Añadir habilidades y descripción personal,"Como freelancer, deseo añadir habilidades y una descripción personal para destacar mis fortalezas.",3,EP03,"Escenario 1: Dado que un freelancer edita su perfil, cuando añade habilidades y descripción válida, entonces el sistema almacena la información. | Escenario 2: Dado que el freelancer actualiza sus habilidades, cuando consulta su perfil público, entonces el sistema muestra la información actualizada."
13,TS09,Endpoint del CV maestro,"Como developer, deseo implementar el endpoint PUT /api/v1/students/{studentId}/master-cv del Profiles & Reputation Service para registrar el CV maestro que usa el Agente IA.",3,EP04,"Escenario 1: Dado que el estudiante envía un CV en formato PDF de hasta 5 MB, cuando se procesa la solicitud, entonces la API responde 200 OK con la nueva versión del CV y publica MasterCvUpdated. | Escenario 2: Dado que el archivo no es PDF o supera 5 MB, cuando se procesa la solicitud, entonces la API responde 422 Unprocessable Entity con el detalle del error."
14,US57,Publicar oferta o puesto de practicante,"Como empleador, deseo publicar una oferta de trabajo o un puesto de practicante con habilidades requeridas, modalidad y presupuesto para recibir postulaciones de estudiantes compatibles.",5,EP14,"Escenario 1: Dado que un empleador verificado completa título, descripción, habilidades requeridas, modalidad y presupuesto o subvención, cuando publica la oferta, entonces el sistema la registra como publicada y la deja disponible para el Agente IA. | Escenario 2: Dado que falta un campo obligatorio, cuando el empleador intenta publicar, entonces el sistema rechaza la publicación e indica los campos faltantes. | Escenario 3: Dado que el empleador aún no está verificado, cuando intenta publicar, entonces el sistema guarda la oferta como borrador e informa los pasos de verificación."
15,TS01,Endpoint para publicar ofertas,"Como developer, deseo implementar el endpoint POST /api/v1/job-offers del Marketplace Service para que la aplicación web publique ofertas de empleadores.",3,EP14,"Escenario 1: Dado que el developer envía una oferta válida con el token de un empleador verificado, cuando se procesa POST /api/v1/job-offers, entonces la API responde 201 Created con el identificador de la oferta y publica el evento JobOfferPublished. | Escenario 2: Dado que el cuerpo omite título, modalidad o habilidades requeridas, cuando se procesa la solicitud, entonces la API responde 400 Bad Request con el detalle de validación. | Escenario 3: Dado que el token pertenece a un estudiante, cuando se procesa la solicitud, entonces la API responde 403 Forbidden."
16,SP09,"Evaluación de modelos, costos y riesgos del Agente IA","Como equipo de desarrollo, deseo evaluar modelos generativos y de embeddings de Vertex AI, su costo por postulación y sus riesgos (alucinaciones e inyección de instrucciones) para seleccionar la configuración del Agente IA.",3,EP13,"Escenario 1: Dado que se prueban al menos dos modelos con un conjunto de 30 pares CV-oferta etiquetados por el equipo, cuando se comparan la precisión del match y el costo, entonces se documenta la recomendación con el costo estimado por postulación. | Escenario 2: Dado que se incluyen ofertas con instrucciones maliciosas en su texto, cuando el prototipo las procesa, entonces se documentan las mitigaciones necesarias y su efectividad."
17,US59,Configurar el mandato y nivel de autonomía del Agente IA,"Como estudiante, deseo aceptar un consentimiento explícito y configurar el nivel de autonomía, el umbral de compatibilidad, el límite diario y las categorías del Agente IA para decidir cuánto control delego.",5,EP13,"Escenario 1: Dado que el estudiante acepta el consentimiento de uso de sus datos, cuando registra el nivel de autonomía, umbral, límite diario y categorías, entonces el sistema activa el mandato con esa configuración. | Escenario 2: Dado que el estudiante no acepta el consentimiento, cuando intenta activar el Agente IA, entonces el sistema no activa el mandato. | Escenario 3: Dado que el estudiante no elige un nivel de autonomía, cuando activa el mandato, entonces el sistema aplica el nivel Asistido, en el que ninguna postulación se envía sin su aprobación."
18,TS03,Endpoint del mandato del Agente IA,"Como developer, deseo implementar el endpoint PUT /api/v1/agent/mandates/{studentId} del AI Agent Service para registrar el consentimiento y la configuración del agente.",3,EP13,"Escenario 1: Dado que el cuerpo incluye consentAccepted=true, autonomyLevel, threshold entre 0 y 100 y dailyLimit entre 1 y 10, cuando se procesa la solicitud del propio estudiante, entonces la API responde 200 OK con el mandato vigente y publica AgentMandateGranted. | Escenario 2: Dado que consentAccepted es false, cuando se procesa la solicitud, entonces la API responde 422 Unprocessable Entity. | Escenario 3: Dado que el token pertenece a otro usuario, cuando se procesa la solicitud, entonces la API responde 403 Forbidden."
19,US51,Búsqueda autónoma de proyectos,"Como estudiante, deseo que el Agente IA revise continuamente las ofertas publicadas en Triple B y me recomiende las compatibles con mi perfil, carrera y disponibilidad para no tener que buscarlas manualmente.",8,EP13,"Escenario 1: Dado que el estudiante tiene un mandato activo y se publica una oferta cuyo match score es mayor o igual a su umbral, cuando el Agente IA procesa la oferta, entonces la añade a sus oportunidades recomendadas con el puntaje y las razones del match. | Escenario 2: Dado que una oferta obtiene un match score menor al umbral del estudiante, cuando el Agente IA la procesa, entonces no la recomienda ni genera una notificación. | Escenario 3: Dado que el estudiante excluyó una categoría en su mandato, cuando se publica una oferta de esa categoría, entonces el Agente IA no la evalúa para él."
20,TS04,Endpoint de oportunidades recomendadas,"Como developer, deseo implementar el endpoint GET /api/v1/agent/students/{studentId}/matches para que las aplicaciones muestren las recomendaciones del Agente IA.",5,EP13,"Escenario 1: Dado que el estudiante tiene recomendaciones, cuando se procesa la solicitud, entonces la API responde 200 OK con jobOfferId, matchScore y reasons ordenados por matchScore descendente. | Escenario 2: Dado que el estudiante no tiene recomendaciones, cuando se procesa la solicitud, entonces la API responde 200 OK con una lista vacía. | Escenario 3: Dado que el estudiante no existe, cuando se procesa la solicitud, entonces la API responde 404 Not Found."
21,US61,Consultar la explicación del match,"Como estudiante o empleador, deseo ver las razones por las que el Agente IA considera compatible una oferta o un candidato para confiar en sus recomendaciones.",3,EP13,"Escenario 1: Dado que existe una recomendación, cuando el usuario solicita su explicación, entonces el sistema muestra el match score y las habilidades, experiencias y condiciones que lo sustentan. | Escenario 2: Dado que una habilidad requerida no está en el perfil del estudiante, cuando se muestra la explicación, entonces el sistema la identifica como brecha."
22,US52,Adaptación automática del CV,"Como estudiante, deseo que el Agente IA adapte mi CV a cada oportunidad resaltando únicamente información verificada de mi CV maestro para aumentar mis probabilidades de éxito sin faltar a la verdad.",8,EP13,"Escenario 1: Dado que el Agente IA prepara una postulación, cuando genera el CV adaptado, entonces reordena y resalta únicamente logros, cursos y habilidades existentes en el CV maestro del estudiante. | Escenario 2: Dado que el CV adaptado contiene una afirmación que no existe en el CV maestro, cuando el sistema valida el documento, entonces lo rechaza y genera una nueva versión sin esa afirmación. | Escenario 3: Dado que un CV fue adaptado, cuando el estudiante consulta la postulación, entonces visualiza las diferencias entre su CV maestro y la versión adaptada."
23,US60,Aprobar o editar la postulación preparada,"Como estudiante, deseo revisar, editar, aprobar o rechazar cada postulación preparada por el Agente IA para que ninguna se envíe sin mi conformidad en el modo Asistido.",5,EP13,"Escenario 1: Dado que el Agente IA preparó un borrador de postulación, cuando el estudiante lo aprueba, entonces el sistema envía la postulación al empleador identificada como asistida por IA. | Escenario 2: Dado que el estudiante rechaza el borrador indicando un motivo, cuando el sistema registra el rechazo, entonces descarta el borrador y el Agente IA ajusta sus preferencias de recomendación. | Escenario 3: Dado que el estudiante edita el CV adaptado, cuando confirma los cambios, entonces el sistema valida que el contenido corresponda al CV maestro antes de enviarlo."
24,TS05,Endpoint de aprobación de borradores,"Como developer, deseo implementar el endpoint POST /api/v1/agent/application-drafts/{draftId}/approval para que el estudiante apruebe las postulaciones preparadas por el agente.",3,EP13,"Escenario 1: Dado que el borrador está pendiente y la oferta sigue abierta, cuando el estudiante envía la aprobación, entonces la API responde 202 Accepted y publica ApplicationDraftApproved. | Escenario 2: Dado que la oferta fue cerrada, cuando se procesa la aprobación, entonces la API responde 409 Conflict indicando que la oferta ya no recibe postulaciones. | Escenario 3: Dado que el borrador ya fue aprobado o descartado, cuando se procesa la solicitud, entonces la API responde 409 Conflict."
25,TS06,Endpoint de registro de postulaciones,"Como developer, deseo implementar el endpoint POST /api/v1/applications del Hiring & Engagements Service para registrar postulaciones enviadas por el estudiante o por el Agente IA.",3,EP13,"Escenario 1: Dado que la oferta está abierta y el estudiante no ha postulado antes, cuando se procesa la solicitud, entonces la API responde 201 Created con estado SUBMITTED y el origen STUDENT o AI_AGENT. | Escenario 2: Dado que ya existe una postulación del estudiante a la misma oferta, cuando se procesa la solicitud, entonces la API responde 409 Conflict. | Escenario 3: Dado que la oferta está cerrada, cuando se procesa la solicitud, entonces la API responde 422 Unprocessable Entity."
26,US53,Postulación autónoma bajo mandato,"Como estudiante, deseo autorizar al Agente IA, mediante un mandato con umbral y límite diario, a enviar postulaciones en mi nombre a oportunidades altamente compatibles para no perder tiempo en procesos manuales.",5,EP13,"Escenario 1: Dado que el estudiante activó el modo autónomo con umbral de 85 y límite de 5 postulaciones diarias, cuando el Agente IA prepara una postulación con match score mayor o igual a 85 y no se alcanzó el límite, entonces la envía y la registra en el historial del agente. | Escenario 2: Dado que se alcanzó el límite diario, cuando el Agente IA prepara una nueva postulación, entonces la deja pendiente de aprobación del estudiante. | Escenario 3: Dado que el Agente IA envió una postulación, cuando esta se registra, entonces el estudiante recibe una notificación con la opción de retirarla."
27,US56,Seguimiento de estado y notificaciones del Agente IA,"Como estudiante o empleador, deseo un panel donde el Agente IA me informe el estado de las postulaciones y las próximas entrevistas para mantener el control sobre sus acciones.",5,EP13,"Escenario 1: Dado que el Agente IA realizó acciones, cuando el usuario consulta su panel, entonces visualiza las postulaciones enviadas, las pendientes de aprobación y las entrevistas programadas. | Escenario 2: Dado que el estudiante solicita pausar al Agente IA, cuando el sistema procesa la solicitud, entonces el agente deja de evaluar ofertas y de enviar postulaciones y conserva las ya enviadas."
28,US54,Filtrado inteligente de candidatos,"Como empleador, deseo que el Agente IA ordene las postulaciones recibidas y me presente a los candidatos más compatibles con sus razones para ahorrar tiempo en la revisión.",8,EP13,"Escenario 1: Dado que una oferta recibió 50 postulaciones, cuando el empleador solicita la preselección, entonces el sistema presenta los 5 candidatos con mayor match score junto con las razones de cada puntaje. | Escenario 2: Dado que el empleador revisa la preselección, cuando solicita ver al resto de candidatos, entonces el sistema muestra todas las postulaciones ordenadas por compatibilidad. | Escenario 3: Dado que el Agente IA calcula el ranking, cuando evalúa a los candidatos, entonces no utiliza atributos personales como sexo, edad, fotografía o distrito de residencia."
29,TS07,Endpoint de preselección de candidatos,"Como developer, deseo implementar el endpoint GET /api/v1/job-offers/{jobOfferId}/shortlist para que el empleador obtenga la preselección del Agente IA.",3,EP13,"Escenario 1: Dado que el empleador es dueño de la oferta, cuando se procesa GET /api/v1/job-offers/{jobOfferId}/shortlist?top=5, entonces la API responde 200 OK con los candidatos, su matchScore y reasons, sin atributos personales sensibles. | Escenario 2: Dado que el empleador no es dueño de la oferta, cuando se procesa la solicitud, entonces la API responde 403 Forbidden."
30,US55,Agendamiento automático de entrevistas,"Como estudiante o empleador, deseo que el Agente IA proponga fechas de entrevista según la disponibilidad de ambas partes para evitar el intercambio manual de mensajes.",8,EP13,"Escenario 1: Dado que el empleador solicita entrevistar a un candidato preseleccionado y ambos tienen su calendario conectado, cuando el Agente IA procesa la solicitud, entonces propone al menos tres franjas comunes y, al confirmarse una, se envía la invitación a ambas partes. | Escenario 2: Dado que el estudiante rechaza las franjas propuestas, cuando registra el rechazo, entonces el Agente IA propone nuevas franjas. | Escenario 3: Dado que una de las partes no tiene calendario conectado, cuando se solicita la entrevista, entonces el sistema le solicita registrar su disponibilidad manualmente."
31,TS08,Endpoint de solicitud de entrevistas,"Como developer, deseo implementar el endpoint POST /api/v1/interviews del Hiring & Engagements Service para proponer franjas de entrevista según los calendarios.",5,EP13,"Escenario 1: Dado que ambas partes tienen calendario conectado y franjas comunes en los próximos 14 días, cuando se procesa la solicitud, entonces la API responde 201 Created con al menos tres franjas propuestas. | Escenario 2: Dado que no existen franjas comunes en los próximos 14 días, cuando se procesa la solicitud, entonces la API responde 409 Conflict indicando que se requiere disponibilidad manual. | Escenario 3: Dado que Google Calendar no responde, cuando se procesa la solicitud, entonces la API responde 202 Accepted con estado PENDING_AVAILABILITY y el sistema reintenta la consulta."
32,US62,Revocar el consentimiento del Agente IA,"Como estudiante, deseo revocar el mandato del Agente IA y solicitar la eliminación de los datos derivados para ejercer mis derechos sobre mis datos personales.",3,EP13,"Escenario 1: Dado que el estudiante revoca el mandato, cuando el sistema procesa la solicitud, entonces el agente se desactiva y se eliminan los CV adaptados no enviados y las representaciones vectoriales de su perfil. | Escenario 2: Dado que existen postulaciones ya enviadas, cuando se revoca el mandato, entonces el sistema las conserva e informa al estudiante que puede retirarlas individualmente."
33,US58,Editar o cerrar una oferta publicada,"Como empleador, deseo editar o cerrar mis ofertas publicadas para mantener actualizada la información y dejar de recibir postulaciones cuando cubro el puesto.",3,EP14,"Escenario 1: Dado que una oferta está publicada, cuando el empleador modifica sus datos, entonces el sistema registra la nueva versión y el Agente IA reevalúa la compatibilidad con ella. | Escenario 2: Dado que el empleador cierra una oferta, cuando el sistema procesa el cierre, entonces deja de aceptar postulaciones y descarta los borradores pendientes del Agente IA para esa oferta."
34,US03,Registrarse con correo y contraseña,"Como visitante, deseo registrarme con mi correo y una contraseña indicando si soy estudiante o empleador para acceder a las funcionalidades de mi rol.",3,EP02,"Escenario 1: Dado que el visitante proporciona un correo no registrado, una contraseña que cumple la política de seguridad y su rol, cuando solicita el registro, entonces el sistema crea la cuenta y envía un correo de verificación. | Escenario 2: Dado que el correo ya está registrado, cuando el visitante solicita el registro, entonces el sistema rechaza la solicitud e informa que existe una cuenta asociada. | Escenario 3: Dado que la contraseña no cumple la política de seguridad, cuando el visitante solicita el registro, entonces el sistema indica los requisitos que no se cumplen."
35,US04,Iniciar sesión como freelancer o cliente,"Como usuario registrado, deseo poder iniciar sesión para acceder a mi cuenta y funcionalidades específicas según mi rol.",5,EP02,"Escenario 1: Dado que un usuario proporciona credenciales válidas, cuando el sistema procesa el inicio de sesión, entonces habilita las funcionalidades según su rol. | Escenario 2: Dado que un usuario proporciona credenciales incorrectas, cuando intenta autenticarse, entonces el sistema rechaza el acceso."
36,SP01,Investigación de autenticación con Google,"Como equipo de desarrollo, deseo investigar cómo integrar Google OAuth 2.0 para permitir registro e inicio de sesión seguro.",2,EP02,"Escenario 1: Dado que se revisa la documentación, cuando se analizan los requisitos, entonces se documentan los pasos de integración. | Escenario 2: Dado que se desarrolla un prototipo, cuando se completa el flujo, entonces se valida que el token generado es seguro."
37,US05,Registrarse con cuenta de Google,"Como visitante, deseo registrarme con Google para agilizar el proceso de creación de cuenta.",2,EP02,"Escenario 1: Dado que un visitante elige registrarse con Google, cuando autoriza el uso de sus datos básicos, entonces el sistema crea su cuenta. | Escenario 2: Dado que una cuenta de Google ya está registrada, cuando intenta registrarse nuevamente, entonces el sistema notifica que ya existe una cuenta asociada."
38,SP02,Recuperación segura de contraseña,"Como equipo de desarrollo, deseo investigar mecanismos seguros de recuperación de contraseña mediante enlaces temporales para evitar el secuestro de cuentas.",2,EP02,"Escenario 1: Dado que se revisan buenas prácticas, cuando se analiza la documentación, entonces se define la estrategia recomendada. | Escenario 2: Dado que se genera un prototipo de envío de correo, cuando el usuario recibe el enlace, entonces este expira según configuración."
39,US06,Solicitar recuperación de contraseña,"Como usuario, deseo solicitar la recuperación de mi contraseña para volver a acceder si la olvido.",2,EP02,"Escenario 1: Dado que un usuario olvidó su contraseña, cuando proporciona un correo registrado, entonces el sistema genera un mecanismo seguro de recuperación. | Escenario 2: Dado que ingresa un correo no registrado, cuando solicita recuperar, entonces el sistema informa que no existe una cuenta asociada."
40,US07,Restablecer contraseña mediante enlace seguro,"Como usuario, deseo restablecer mi contraseña usando un enlace enviado a mi correo para recuperar el acceso a mi cuenta de forma segura.",2,EP02,"Escenario 1: Dado que un usuario recibe un enlace de restablecimiento vigente, cuando registra una contraseña que cumple la política, entonces el sistema actualiza la contraseña e invalida el enlace. | Escenario 2: Dado que el enlace ha expirado o ya fue utilizado, cuando el usuario intenta usarlo, entonces el sistema rechaza la operación e informa que debe solicitar uno nuevo."
41,SP06,Gestión de archivos y portafolio,"Como equipo de desarrollo, deseo investigar almacenamiento seguro de imágenes y archivos para portafolios multimedia.",2,EP04,"Escenario 1: Dado que se evalúan proveedores de nube, cuando se documentan costos y seguridad, entonces se elige la opción más viable. | Escenario 2: Dado que se construye un prototipo, cuando un usuario carga una imagen, entonces esta es accesible mediante una URL segura."
42,US18,Subir portafolio de proyectos,"Como freelancer, deseo subir muestras de trabajos anteriores para demostrar mi experiencia a los clientes.",5,EP04,"Escenario 1: Dado que un freelancer proporciona archivos o enlaces válidos, cuando el sistema valida el contenido, entonces lo almacena y muestra en su perfil. | Escenario 2: Dado que intenta subir un archivo no permitido, cuando el sistema valida el tipo, entonces rechaza la carga e informa el error."
